Accession	Mann P	Student P	log2FC	c_median	a_median	a1	a2	a3	c1	c2	c3
Q9NYM9|BET1L_HUMAN	0.6625205835400574	0.7942385549584806	0.09139030155914973	10.57395978488274	10.66535008644189	10.81768736520845	10.643529201957877	10.66535008644189	10.37477221469987	11.01351421738768	10.57395978488274
Q8WUH6|TM263_HUMAN	0.38273308888522595	0.23981147974643802	-0.26318532630892655	12.392947122622873	12.129761796313947	12.000297278667446	12.295104476028554	12.129761796313947	12.578013624141425	12.392947122622873	12.114326010613707
Q9Y6B6|SAR1B_HUMAN	0.08085559837005224	6.959124144891397e-05	-0.3420151760189558	13.531186854150013	13.189171678131057	13.188352781335665	13.189171678131057	13.24175625882589	13.517105202276767	13.531186854150013	13.540984475340723
Q8N3P4|VPS8_HUMAN	0.38273308888522595	0.340804256285633	-0.14876692041891282	12.419785661744235	12.271018741325323	11.975702706231765	12.415286841017188	12.271018741325323	12.570924277926743	12.419785661744235	12.210345726686867
Q9BRT8|CBWD1_HUMAN	1.0	0.6853876022537406	-0.20435725319943288	12.351106763598109	12.146749510398676	12.146749510398676	12.132430083370584	12.793644191832852	12.463942293263209	12.351106763598109	11.892285901469423
H0YM23|H0YM23_HUMAN	0.6625205835400574	0.466286087120215	-0.03854335904764561	13.025702096735992	12.987158737688347	13.065355712562043	12.987158737688347	12.93218342801671	13.25726621330545	13.025702096735992	12.945684280755101
Q8NFH3|NUP43_HUMAN	1.0	0.9261699225529247	0.0071891622926845145	12.900673187502372	12.907862349795057	12.77249688927686	12.907862349795057	12.93221811136183	13.14959915947732	12.900673187502372	12.610675104319187
Q13724|MOGS_HUMAN	0.08085559837005224	0.05827130504318325	-0.5092509869258404	16.193404405749313	15.684153418823472	15.684153418823472	15.774428296945114	15.682455652560282	16.193404405749313	16.232262580307268	15.808486527310075
Q9Y399|RT02_HUMAN	0.6625205835400574	0.3289443323442723	0.4256534173177364	11.354850774447034	11.78050419176477	11.088999791982209	11.78050419176477	12.202113842501719	11.258205403388327	11.371025893743901	11.354850774447034
Q8IUX7|AEBP1_HUMAN	0.38273308888522595	0.3449842365244138	0.06345154860710522	10.14509155977325	10.208543108380356	10.208543108380356	10.425908650265393	10.151756095309628	9.750556052165582	10.14509155977325	10.300673040999145
Q13418|ILK_HUMAN	0.6625205835400574	0.3954417002957683	-0.3437433883875407	15.427963111924376	15.084219723536835	15.084219723536835	15.458463616252121	14.99467539950186	15.8411505454678	15.041592143979907	15.427963111924376
Q15392|DHC24_HUMAN	0.08085559837005224	0.0889865470416701	0.9892094540192709	12.669319089957034	13.658528543976304	13.489574356677611	13.658528543976304	13.764391700823838	13.475189214987758	12.182096580589947	12.669319089957034
Q86T03|PP4P1_HUMAN	1.0	0.8496503704516807	-0.11439448621255366	12.04123190898028	11.926837422767726	11.926837422767726	12.094495584321573	11.638325467565714	12.04123190898028	12.08647421339364	11.648719918128599
Q9NP84|TNR12_HUMAN	1.0	0.782688417261707	-0.7669810627845841	8.244419067993718	7.477438005209134	6.603234798571614	7.477438005209134	12.926300665369007	8.244419067993718	6.761339067541582	10.058033656395375
Q9Y5S2|MRCKB_HUMAN	0.19043026382552397	0.22564278940205681	-0.03500772487662829	14.108770438833464	14.073762713956835	14.102064770041252	14.073762713956835	13.842969799207257	14.108770438833464	14.227646024314984	14.083168607502104
Q9P1F3|ABRAL_HUMAN	0.6625205835400574	0.6043493664400871	0.00626895657701354	13.187822944720288	13.194091901297302	13.2701766058922	13.194091901297302	12.99441814452351	12.773012625286846	13.218866212711776	13.187822944720288
O15031|PLXB2_HUMAN	0.08085559837005224	0.1364405255490015	0.15105352683238138	12.315280916264406	12.466334443096788	12.466334443096788	12.753339406477563	12.400134954439437	12.289396319942007	12.388222356867734	12.315280916264406
P62993|GRB2_HUMAN	0.38273308888522595	0.31221225662585467	0.30735649789305874	14.670169534041317	14.977526031934376	14.459345514173219	14.977526031934376	15.266341247011178	14.798879146978761	14.202711176898392	14.670169534041317
Q9H7F0|AT133_HUMAN	1.0	0.9471906734568529	-0.017711921398523955	12.00686847757911	11.989156556180586	11.989156556180586	11.84748979607509	12.116287828260704	12.012745305401449	12.00686847757911	11.915608904168307
Q9NTJ5|SAC1_HUMAN	0.6625205835400574	0.8127968733734405	-0.24729034908866865	12.841356439215614	12.594066090126946	12.580909023538275	12.594066090126946	13.079807670709524	12.841356439215614	12.94641209052771	12.612319551506747
E9PGC0|E9PGC0_HUMAN	0.6625205835400574	0.5640393344531274	-0.3589760854780515	14.875327095946327	14.516351010468275	15.315124436608766	14.516351010468275	13.999768352417743	14.875327095946327	14.785028282071	14.894602934265473
Q9Y6N1|COX11_HUMAN	0.08085559837005224	0.00633247497802562	-0.2559127362215303	10.484599173610302	10.228686437388772	10.301655774292595	10.163764131151902	10.228686437388772	10.581978081063028	10.467700198368968	10.484599173610302
J3KTN0|J3KTN0_HUMAN	1.0	0.7298156791683726	-0.8121816045894548	9.314277396759852	8.502095792170397	8.283222149258592	8.502095792170397	9.719628625529879	9.314277396759852	8.130553832079038	9.802345509539206
A0A2R8Y651|A0A2R8Y651_HUMAN	0.19043026382552397	0.3625075637713991	-0.2450553546150509	15.274849722269417	15.029794367654366	15.029794367654366	15.237555801550892	0.0	15.182960472184869	15.352114361846796	15.274849722269417
Q5MNZ9|WIPI1_HUMAN	0.38273308888522595	0.41665481213826444	0.0857309322867259	13.14912668121898	13.234857613505707	13.039287072988506	13.234857613505707	13.316308193069984	13.189837451056565	12.952554119615243	13.14912668121898
H3BQQ9|H3BQQ9_HUMAN	0.08085559837005224	0.08167436671994127	-4.532997939340799	15.822324253217342	11.289326313876543	11.289326313876543	15.229944980541571	10.517535248655081	15.457138795621406	15.822324253217342	15.93729392625914
P28906|CD34_HUMAN	0.38273308888522595	0.5932601551335304	0.28193965944448607	9.823701624690246	10.105641284134732	10.105641284134732	10.365941653240093	8.9227633274264	8.746558810547514	9.829957257017083	9.823701624690246
P53618|COPB_HUMAN	1.0	0.5389687646575153	-0.25661981867884265	15.560919138349202	15.30429931967036	14.788842799526172	15.30429931967036	15.704261229688248	15.614164561299726	15.21280457026946	15.560919138349202
